name;url;data_types;default_tasks;attribute_types;no_instances;no_attribues;year
Hill-Valley;https://archive.ics.uci.edu/ml/datasets/Hill-Valley;Sequential;Classification;Real;606;101;2008
Arcene;https://archive.ics.uci.edu/ml/datasets/Arcene;Multivariate;Classification;Real;900;10000;2008
Dexter;https://archive.ics.uci.edu/ml/datasets/Dexter;Multivariate;Classification;Integer;2600;20000;2008
Dorothea;https://archive.ics.uci.edu/ml/datasets/Dorothea;Multivariate;Classification;Integer;1950;100000;2008
Gisette;https://archive.ics.uci.edu/ml/datasets/Gisette;Multivariate;Classification;Integer;13500;5000;2008
Madelon;https://archive.ics.uci.edu/ml/datasets/Madelon;Multivariate;Classification;Real;4400;500;2008
Ozone Level Detection;https://archive.ics.uci.edu/ml/datasets/Ozone+Level+Detection;Multivariate$Sequential$Time-Series;Classification;Real;2536;73;2008
Abscisic Acid Signaling Network;https://archive.ics.uci.edu/ml/datasets/Abscisic+Acid+Signaling+Network;Multivariate;Causal-Discovery;Integer;300;43;2008
Parkinsons;https://archive.ics.uci.edu/ml/datasets/Parkinsons;Multivariate;Classification;Real;197;23;2008
Character Trajectories;https://archive.ics.uci.edu/ml/datasets/Character+Trajectories;Time-Series;Classification$Clustering;Real;2858;3;2008
Blood Transfusion Service Center;https://archive.ics.uci.edu/ml/datasets/Blood+Transfusion+Service+Center;Multivariate;Classification;Real;748;5;2008
UJI Pen Characters (Version 2);https://archive.ics.uci.edu/ml/datasets/UJI+Pen+Characters+%28Version+2%29;Multivariate$Sequential;Classification;Integer;11640;;2009
Semeion Handwritten Digit;https://archive.ics.uci.edu/ml/datasets/Semeion+Handwritten+Digit;Multivariate;Classification;Integer;1593;256;2008
SECOM;https://archive.ics.uci.edu/ml/datasets/SECOM;Multivariate;Classification$Causal-Discovery;Real;1567;591;2008
Plants;https://archive.ics.uci.edu/ml/datasets/Plants;Multivariate;Clustering;Categorical;22632;70;2008
Libras Movement;https://archive.ics.uci.edu/ml/datasets/Libras+Movement;Multivariate$Sequential;Classification$Clustering;Real;360;91;2009
Concrete Slump Test;https://archive.ics.uci.edu/ml/datasets/Concrete+Slump+Test;Multivariate;Regression;Real;103;10;2009
Communities and Crime;https://archive.ics.uci.edu/ml/datasets/Communities+and+Crime;Multivariate;Regression;Real;1994;128;2009
Acute Inflammations;https://archive.ics.uci.edu/ml/datasets/Acute+Inflammations;Multivariate;Classification;Categorical$Integer;120;6;2009
Wine Quality;https://archive.ics.uci.edu/ml/datasets/Wine+Quality;Multivariate;Classification$Regression;Real;4898;12;2009
URL Reputation;https://archive.ics.uci.edu/ml/datasets/URL+Reputation;Multivariate$Time-Series;Classification;Integer$Real;2396130;3231961;2009
p53 Mutants;https://archive.ics.uci.edu/ml/datasets/p53+Mutants;Multivariate;Classification;Real;16772;5409;2010
Parkinsons Telemonitoring;https://archive.ics.uci.edu/ml/datasets/Parkinsons+Telemonitoring;Multivariate;Regression;Integer$Real;5875;26;2009
Demospongiae;https://archive.ics.uci.edu/ml/datasets/Demospongiae;Multivariate;Classification;Integer;503;;2010
Opinosis Opinion  Review;https://archive.ics.uci.edu/ml/datasets/Opinosis+Opinion+%26frasl%3B+Review;Text;;;51;;2010
Breast Tissue;https://archive.ics.uci.edu/ml/datasets/Breast+Tissue;Multivariate;Classification;Real;106;10;2010
Cardiotocography;https://archive.ics.uci.edu/ml/datasets/Cardiotocography;Multivariate;Classification;Real;2126;23;2010
Wall-Following Robot Navigation Data;https://archive.ics.uci.edu/ml/datasets/Wall-Following+Robot+Navigation+Data;Multivariate$Sequential;Classification;Real;5456;24;2010
Spoken Arabic Digit;https://archive.ics.uci.edu/ml/datasets/Spoken+Arabic+Digit;Multivariate$Time-Series;Classification;Real;8800;13;2010
Localization Data for Person Activity;https://archive.ics.uci.edu/ml/datasets/Localization+Data+for+Person+Activity;Univariate$Sequential$Time-Series;Classification;Real;164860;8;2010
AutoUniv;https://archive.ics.uci.edu/ml/datasets/AutoUniv;Multivariate;Classification;Categorical$Integer$Real;;;2010
Steel Plates Faults;https://archive.ics.uci.edu/ml/datasets/Steel+Plates+Faults;Multivariate;Classification;Integer$Real;1941;27;2010
MiniBooNE particle identification;https://archive.ics.uci.edu/ml/datasets/MiniBooNE+particle+identification;Multivariate;Classification;Real;130065;50;2010
YearPredictionMSD;https://archive.ics.uci.edu/ml/datasets/YearPredictionMSD;Multivariate;Regression;Real;515345;90;2011
PEMS-SF;https://archive.ics.uci.edu/ml/datasets/PEMS-SF;Multivariate$Time-Series;Classification;Real;440;138672;2011
OpinRank Review Dataset;https://archive.ics.uci.edu/ml/datasets/OpinRank+Review+Dataset;Text;;;;;2011
Relative location of CT slices on axial axis;https://archive.ics.uci.edu/ml/datasets/Relative+location+of+CT+slices+on+axial+axis;Domain-Theory;Regression;Real;53500;386;2011
Online Handwritten Assamese Characters Dataset;https://archive.ics.uci.edu/ml/datasets/Online+Handwritten+Assamese+Characters+Dataset;Multivariate$Sequential;Classification;Integer;8235;;2011
PubChem Bioassay Data;https://archive.ics.uci.edu/ml/datasets/PubChem+Bioassay+Data;Multivariate;Classification;Integer$Real;;;2011
Record Linkage Comparison Patterns;https://archive.ics.uci.edu/ml/datasets/Record+Linkage+Comparison+Patterns;Multivariate;Classification;Real;5749132;12;2011
Communities and Crime Unnormalized;https://archive.ics.uci.edu/ml/datasets/Communities+and+Crime+Unnormalized;Multivariate;Regression;Real;2215;147;2011
Vertebral Column;https://archive.ics.uci.edu/ml/datasets/Vertebral+Column;Multivariate;Classification;Real;310;6;2011
EMG Physical Action Data Set;https://archive.ics.uci.edu/ml/datasets/EMG+Physical+Action+Data+Set;Time-Series;Classification;Real;10000;8;2011
Vicon Physical Action Data Set;https://archive.ics.uci.edu/ml/datasets/Vicon+Physical+Action+Data+Set;Time-Series;Classification;Real;3000;27;2011
Amazon Commerce reviews set;https://archive.ics.uci.edu/ml/datasets/Amazon+Commerce+reviews+set;Multivariate$Text$Domain-Theory;Classification;Real;1500;10000;2011
Amazon Access Samples;https://archive.ics.uci.edu/ml/datasets/Amazon+Access+Samples;Time-Series$Domain-Theory;Regression$Clustering$Causal-Discovery;;30000;20000;2011
